GEO.id,GEO.id2,GEO.display-label,HC01_VC118,HC02_VC118,HC03_VC118,HC04_VC118
Id,Id2,Geography,Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Percent; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Percent Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars)
0500000US08077,08077,"Mesa County, Colorado",26569,701,(X),(X)
0500000US08079,08079,"Mineral County, Colorado",32271,4620,(X),(X)
0500000US08081,08081,"Moffat County, Colorado",24624,1879,(X),(X)
0500000US08083,08083,"Montezuma County, Colorado",23470,1050,(X),(X)
0500000US08085,08085,"Montrose County, Colorado",23144,987,(X),(X)
0500000US08087,08087,"Morgan County, Colorado",22101,842,(X),(X)
0500000US08089,08089,"Otero County, Colorado",19228,1099,(X),(X)
0500000US08091,08091,"Ouray County, Colorado",33392,2677,(X),(X)
0500000US08093,08093,"Park County, Colorado",31734,1737,(X),(X)
0500000US08095,08095,"Phillips County, Colorado",24967,3513,(X),(X)
0500000US08097,08097,"Pitkin County, Colorado",55519,8780,(X),(X)
0500000US08099,08099,"Prowers County, Colorado",20087,1037,(X),(X)
0500000US08101,08101,"Pueblo County, Colorado",22191,426,(X),(X)
0500000US08103,08103,"Rio Blanco County, Colorado",27274,2136,(X),(X)
0500000US08105,08105,"Rio Grande County, Colorado",22269,1747,(X),(X)
0500000US08107,08107,"Routt County, Colorado",36472,2261,(X),(X)
0500000US08109,08109,"Saguache County, Colorado",21711,2476,(X),(X)
0500000US08111,08111,"San Juan County, Colorado",23143,3943,(X),(X)
0500000US08113,08113,"San Miguel County, Colorado",40149,4160,(X),(X)
0500000US08115,08115,"Sedgwick County, Colorado",22857,1592,(X),(X)
0500000US08117,08117,"Summit County, Colorado",35753,2371,(X),(X)
0500000US08119,08119,"Teller County, Colorado",32707,1610,(X),(X)
0500000US08121,08121,"Washington County, Colorado",24817,1936,(X),(X)
0500000US08123,08123,"Weld County, Colorado",26751,415,(X),(X)
0500000US08125,08125,"Yuma County, Colorado",23246,1921,(X),(X)
0500000US09001,09001,"Fairfield County, Connecticut",50137,563,(X),(X)
0500000US09003,09003,"Hartford County, Connecticut",35611,374,(X),(X)
0500000US09005,09005,"Litchfield County, Connecticut",38530,935,(X),(X)
0500000US09007,09007,"Middlesex County, Connecticut",41277,990,(X),(X)
0500000US09009,09009,"New Haven County, Connecticut",32852,302,(X),(X)
0500000US09011,09011,"New London County, Connecticut",34208,604,(X),(X)
0500000US09013,09013,"Tolland County, Connecticut",35446,923,(X),(X)
0500000US09015,09015,"Windham County, Connecticut",28140,610,(X),(X)
0500000US10001,10001,"Kent County, Delaware",25404,515,(X),(X)
0500000US10003,10003,"New Castle County, Delaware",32894,435,(X),(X)
0500000US10005,10005,"Sussex County, Delaware",28558,532,(X),(X)
0500000US11001,11001,"District of Columbia, District of Columbia",47675,568,(X),(X)
0500000US12001,12001,"Alachua County, Florida",25498,602,(X),(X)
0500000US12003,12003,"Baker County, Florida",20471,1495,(X),(X)
0500000US12005,12005,"Bay County, Florida",25246,614,(X),(X)
0500000US12007,12007,"Bradford County, Florida",19739,1346,(X),(X)
0500000US12009,12009,"Brevard County, Florida",27571,383,(X),(X)
0500000US12011,12011,"Broward County, Florida",28381,265,(X),(X)
0500000US12013,12013,"Calhoun County, Florida",16536,1498,(X),(X)
0500000US12015,12015,"Charlotte County, Florida",26984,750,(X),(X)
0500000US12017,12017,"Citrus County, Florida",23979,784,(X),(X)
0500000US12019,12019,"Clay County, Florida",26464,789,(X),(X)
0500000US12021,12021,"Collier County, Florida",38297,939,(X),(X)
0500000US12023,12023,"Columbia County, Florida",20563,856,(X),(X)
0500000US12027,12027,"DeSoto County, Florida",16441,1103,(X),(X)
